date,control_users,treatment_users,control_conversions,treatment_conversions,control_rate,treatment_rate,absolute_lift,relative_lift_pct,cumulative_control_users,cumulative_treatment_users,cumulative_control_conv,cumulative_treatment_conv,cumulative_control_rate,cumulative_treatment_rate
20170102,2859.0,2853.0,359.0,342.0,0.1255683805526407,0.1198738170347003,-0.0056945635179403,-4.53502983225392,2859.0,2853.0,359.0,342.0,0.1255683805526407,0.1198738170347003
20170103,6590.0,6618.0,750.0,753.0,0.1138088012139605,0.113780598368087,-2.8202845873501192e-05,-0.024780900574183,9449.0,9471.0,1109.0,1095.0,0.1173669171340882,0.1156160912258473
20170104,6578.0,6541.0,802.0,763.0,0.1219215567041653,0.116648830454059,-0.0052727262501063,-4.324687440548539,16027.0,16012.0,1911.0,1858.0,0.1192362887627129,0.1160379715213589
20170105,6427.0,6505.0,792.0,748.0,0.1232301229189357,0.1149884704073789,-0.0082416525115567,-6.688017764113076,22454.0,22517.0,2703.0,2606.0,0.1203794424156052,0.1157347781676067
20170106,6606.0,6747.0,762.0,833.0,0.1153496821071752,0.1234622795316437,0.0081125974244685,7.033047058535296,29060.0,29264.0,3465.0,3439.0,0.1192360633172746,0.1175164024056861
20170107,6604.0,6609.0,799.0,768.0,0.1209872804360993,0.1162051747616886,-0.0047821056744107,-3.952568945407796,35664.0,35873.0,4264.0,4207.0,0.1195603409600717,0.1172748306525799
20170108,6687.0,6700.0,795.0,809.0,0.1188873934499775,0.1207462686567164,0.0018588752067388,1.5635595606871735,42351.0,42573.0,5059.0,5016.0,0.1194540860900569,0.1178211542526953
20170109,6628.0,6615.0,793.0,781.0,0.1196439348219674,0.1180650037792895,-0.0015789310426779,-1.3196916709797195,48979.0,49188.0,5852.0,5797.0,0.1194797770473059,0.117853948117427
20170110,6654.0,6696.0,751.0,846.0,0.1128644424406372,0.1263440860215053,0.013479643580868,11.943215497616016,55633.0,55884.0,6603.0,6643.0,0.1186885481638595,0.1188712332689141
20170111,6688.0,6673.0,795.0,768.0,0.1188696172248803,0.1150906638693241,-0.0037789533555562,-3.17907421911446,62321.0,62557.0,7398.0,7411.0,0.1187079796537282,0.1184679572230126
20170112,6522.0,6637.0,796.0,812.0,0.1220484513952775,0.122344432725629,0.0002959813303515,0.2425113362503208,68843.0,69194.0,8194.0,8223.0,0.119024446929971,0.1188397837962829
20170113,6552.0,6508.0,766.0,724.0,0.1169108669108669,0.1112476951444376,-0.0056631717664293,-4.844008017447102,75395.0,75702.0,8960.0,8947.0,0.1188407719344784,0.1181871020580698
20170114,6548.0,6599.0,830.0,787.0,0.126756261453879,0.1192604940142445,-0.0074957674396344,-5.91352833671406,81943.0,82301.0,9790.0,9734.0,0.119473292410578,0.118273168005249
20170115,6714.0,6549.0,809.0,743.0,0.1204944891271969,0.1134524354863338,-0.0070420536408631,-5.844295197126685,88657.0,88850.0,10599.0,10477.0,0.1195506277000124,0.1179178390545863
20170116,6591.0,6545.0,803.0,780.0,0.121832802306175,0.1191749427043544,-0.0026578596018206,-2.18156321738476,95248.0,95395.0,11402.0,11257.0,0.1197085503107676,0.1180040882645841
20170117,6617.0,6538.0,813.0,832.0,0.1228653468339126,0.1272560416029367,0.004390694769024,3.5735826920827005,101865.0,101933.0,12215.0,12089.0,0.1199136111520149,0.1185975101292025
20170118,6482.0,6603.0,809.0,824.0,0.1248071582844801,0.1247917613206118,-1.539696386829159e-05,-0.0123366031884136,108347.0,108536.0,13024.0,12913.0,0.1202063739651305,0.1189743495245817
20170119,6578.0,6552.0,789.0,768.0,0.1199452721191851,0.1172161172161172,-0.0027291549030678,-2.2753334540406374,114925.0,115088.0,13813.0,13681.0,0.1201914291929519,0.118874252745725
20170120,6534.0,6679.0,753.0,786.0,0.1152433425160697,0.1176822877676298,0.0024389452515601,2.1163437282461794,121459.0,121767.0,14566.0,14467.0,0.1199252422628212,0.118808872683075
20170121,6749.0,6560.0,850.0,759.0,0.1259445843828715,0.1157012195121951,-0.0102433648706764,-8.133231707317073,128208.0,128327.0,15416.0,15226.0,0.1202421065768126,0.1186500112992589
20170122,6596.0,6669.0,786.0,787.0,0.1191631291691934,0.1180086969560653,-0.001154432213128,-0.9687830633324328,134804.0,134996.0,16202.0,16013.0,0.1201893118898549,0.1186183294319831
20170123,6716.0,6633.0,844.0,803.0,0.125670041691483,0.12106135986733,-0.0046086818241529,-3.667287574764391,141520.0,141629.0,17046.0,16816.0,0.1204494064443188,0.1187327454123096
20170124,3754.0,3681.0,443.0,448.0,0.1180074587107085,0.1217060581363759,0.0036985994256674,3.134208181479781,145274.0,145310.0,17489.0,17264.0,0.1203863045004612,0.1188080655151056
